SAMPLE_FFDI_PATHS,,,,,,,,,,,,,,,,,,,,,
PRESET_PATHS,5,,,,,,,,,,,,,,,,,,,,
PATH_6_17/12/2017,HOUR,,,,,,,,,,,,,,,,,,,,
PATCH,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
18,1.2081572085,1.5014423767,1.9837841956,2.7525458046,4.2884537236,6.4231344495,8.1561825159,9.9834251273,11.9962755475,14.301239768,15.2846068019,16.1367008004,13.8147412778,10.2653713954,7.5951222389,4.6788681415,2.7835197683,2.1414993843,2.9133572333,3.000311464,2.5268313946
25,0.4572293949,0.818486305,1.2208872651,1.8200368308,1.8977050367,2.4932543169,3.1299300881,3.7798076965,4.0579352219,3.8470247901,3.3400407033,3.7021276986,3.6440453845,2.521738028,1.3682439011,0.9500747726,0.9471925759,0.7720103088,0.5623517305,0.5976246209,0.5879623182
26,0.5393954848,0.5108209001,0.526525119,0.5964104114,0.6977138347,1.0454148171,1.2774600375,1.4240625831,2.1394820367,2.4517296641,2.8042714169,3.1769250413,3.2276159245,3.5649989553,3.0767805085,1.7743138074,1.1332773683,0.9846921358,0.8166497201,0.6624070616,0.6272280958
27,0.4681962244,0.4570247244,0.5005199665,0.6245413192,1.0599929022,1.4872402362,2.0057583367,2.2407087276,3.0291201932,2.9863509143,3.2880747531,4.0694270356,3.4732203282,3.9322516945,3.8260089568,3.0325450336,1.9588591003,2.0687244551,1.4995947503,1.1312745361,0.8358174133
28,0.5599315643,0.6509901878,0.7913849957,0.9111655185,1.1357228161,1.1745079461,1.195876382,1.5368414299,1.7934825541,2.0727148933,1.9852588142,1.8109820924,1.6867933333,1.3850265244,1.4626052899,2.4408816125,3.3570052793,3.2890188244,2.5700776719,1.9238648798,1.7971572681
29,5.6422398102,8.3246510257,10.1940183923,2.775500569,2.0168383584,1.9063894564,2.0338308159,2.621878685,2.8877888808,3.1997769881,3.7765886029,4.0298982043,4.122587978,3.9738329843,3.834968098,2.4473874683,2.3558724269,2.8118457441,4.603524224,6.2620157985,6.7116991525
30,0.3821895955,0.4265829375,0.8448142738,1.5414623285,2.155281906,2.4993270855,2.9046750635,2.8953660056,3.5515407728,3.2376945887,3.6295966625,4.8458929407,4.7257748166,4.0435844142,2.1223872784,0.8481748528,0.6358081131,0.5638830145,0.5231183584,0.5061068157,0.4940999107
37,1.8535527015,3.3739964294,4.853430147,6.9445752649,9.6489026323,13.4097177952,15.9394491312,19.0603291264,21.940029922,23.991830967,22.6841390308,16.9359358699,17.7658346805,14.1211889925,9.8010355194,8.4113061168,7.8799123373,5.9312080709,4.6293727782,3.0936803696,1.7244747711
38,1.4375191261,0.9496410563,1.0829175118,1.4502976319,2.0241276118,3.3036859468,5.1564007071,7.4369349786,9.4394602227,11.8385220964,14.1342198767,15.4721061385,15.1859217609,15.2643309885,13.895969009,8.8968634985,7.387643437,5.7308209844,2.4773733516,2.323579458,2.9669926572
39,0.8437780633,0.7798483688,0.7528752187,1.2091700593,1.513771506,2.0365439374,2.7890309977,3.7395460343,5.3743316541,7.4777670363,8.8532464552,9.8997967127,11.220856374,11.8928124621,9.3569952893,5.9261468108,3.0964745514,2.3777489549,2.5263947108,2.3102904925,1.5297789853
40,1.0522040417,1.5238452485,2.2090478778,2.9497631758,4.4941635998,4.5436919934,5.8426757336,7.6825225237,10.779731017,14.5891072864,16.2889824104,15.2068532517,14.6669789097,11.4513701331,6.1723545274,3.204668447,2.6371920657,3.672050644,2.2057354203,2.1775502126,2.0582833385
