SAMPLE_FFDI_PATHS,,,,,,,,,,,,,,,,,,,,,
PRESET_PATHS,10,,,,,,,,,,,,,,,,,,,,
PATH_1_26/01/2017,HOUR,,,,,,,,,,,,,,,,,,,,
PATCH,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
8,0.2813833483,0.2775852154,0.3030409571,0.4036660666,0.6902528422,0.9932058746,1.406483601,2.0141407737,2.82583159,2.8550309664,2.4859196944,1.6116728703,1.2099423205,1.233212668,0.8313558884,0.5635510751,0.5635510751,0.5444782346,0.4040107192,0.2635432038,0.2210850161
9,0.3829229838,0.3649695342,0.3891496143,0.6943831394,1.2400461582,2.0005229137,3.2479323804,5.2547298942,7.5106243883,8.4766777921,8.0529509608,5.7463714489,4.2163870128,6.1937368949,2.2448497742,1.590961584,1.3911609345,1.2123475491,0.9738873497,0.7354271502,0.7355301173
15,0.4782799025,0.5194209631,0.8445896008,1.7931999989,2.3271714867,2.4076226253,3.1344381817,3.6854283739,3.7103133428,3.3999780885,1.359033693,0.969770268,0.7115667339,1.0452686434,0.3788457789,0.2684941716,0.2347753751,0.2045984354,0.1643553683,0.1241123013,0.1241296782
16,0.5909896938,0.5352096711,0.4906046347,0.5830649454,1.0380493217,1.7966131331,3.0104311261,6.7296510996,9.2670333348,11.1971949915,12.3587374623,14.6441845813,12.3822413852,10.8094775448,5.7869379472,2.2177281139,1.5890928197,1.9531887624,1.8080422422,1.662895722,1.2703856217
17,0.955989452,0.9139966256,1.0693934307,1.9276306389,3.9114634995,5.1816917754,7.106370253,10.0554180684,11.6086626608,13.3134073716,14.407826999,15.0042215851,14.363519161,11.4006640137,5.9757618772,3.9202349982,2.5886890791,1.8030174104,1.4355820903,1.0681467703,0.8063681786
18,0.7794713388,0.6770843908,0.6627951176,1.2037005944,2.3537990508,3.7151930439,5.9656059831,9.6356584622,14.5313827784,16.0553261228,14.6659816751,13.0160165338,9.617175747,7.7307094733,5.4074662646,3.7069544636,2.4293910766,1.5997392388,1.1267684024,0.9403000192,0.8208164167
25,0.3440271276,0.3499548005,0.5935339882,0.8581648586,1.0585334134,1.59124859,2.4289081309,3.0986643607,3.5070476393,2.1986615059,0.9886739434,0.8774452798,0.6483201249,0.5211482729,0.364532093,0.2498959407,0.1637718981,0.1078427982,0.0759585403,0.0633881965,0.05533348
26,0.4300967083,0.4172101645,0.4101037131,0.4240833799,0.4552151146,0.5270155667,0.669847508,0.8605485945,1.2053799248,1.5178802779,1.5548744573,1.6722914431,1.5298884244,1.2575618511,1.1383897997,0.9619380837,0.7960723602,0.8299538414,0.7877977066,0.7456415717,0.7277990777
27,0.4422686659,0.4101723916,0.3923748131,0.3919904741,0.4431452253,0.645223997,0.944369528,1.4014147467,1.9055339533,2.0413722632,1.8100641013,1.6156256156,1.3284093642,1.5047131165,1.34363988,1.0711600925,0.8591792205,0.9451064236,0.9287773665,0.8859930104,0.8472471699
28,7.7108869218,7.7108869218,7.7108869218,7.7108869218,1.4261709794,0.4532793015,0.661472556,0.955417574,1.0514321805,0.8123477363,0.7279471833,0.6086531074,0.4832762784,0.4434337875,3.0302745204,7.7108869218,7.7108869218,7.7108869218,7.711999583,7.711999583,0.3407344472
